visibility,parent-FQN,method-name,param-list,return-type,tags
public,org.apache.pdfbox.contentstream.operator.markedcontent.BeginMarkedContentSequence,getName,[],java.lang.String,"{multiple_statements=false, loops=false, parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false}"
public,org.apache.pdfbox.contentstream.operator.color.SetNonStrokingColor,getName,[],java.lang.String,"{multiple_statements=false, loops=false, parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false}"
public,org.apache.pdfbox.contentstream.operator.graphics.AppendRectangleToPath,getName,[],java.lang.String,"{multiple_statements=false, loops=false, parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false}"
public,org.apache.pdfbox.contentstream.operator.state.SetGraphicsStateParameters,getName,[],java.lang.String,"{multiple_statements=false, loops=false, parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false}"
public,org.apache.pdfbox.contentstream.operator.graphics.ClipNonZeroRule,getName,[],java.lang.String,"{multiple_statements=false, loops=false, parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false}"
public,org.apache.fontbox.afm.CompositePart,getName,[],java.lang.String,"{multiple_statements=false, loops=false, parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false}"
public,org.apache.fontbox.cff.CFFFont,getName,[],java.lang.String,"{multiple_statements=false, loops=false, parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false}"
public,org.apache.pdfbox.contentstream.operator.color.SetStrokingColorN,getName,[],java.lang.String,"{multiple_statements=false, loops=false, parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false}"
public,org.apache.pdfbox.contentstream.operator.state.SetMatrix,getName,[],java.lang.String,"{multiple_statements=false, loops=false, parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false}"
public,org.apache.fontbox.cff.CFFOperator,getName,[],java.lang.String,"{multiple_statements=false, loops=false, parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false}"
public,org.apache.fontbox.type1.Type1Font,getName,[],java.lang.String,"{multiple_statements=false, loops=false, parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false}"
public,org.apache.pdfbox.contentstream.operator.color.SetNonStrokingDeviceRGBColor,getName,[],java.lang.String,"{multiple_statements=false, loops=false, parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false}"
public,org.apache.pdfbox.contentstream.operator.state.SetRenderingIntent,getName,[],java.lang.String,"{multiple_statements=false, loops=false, parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false}"
public,org.apache.pdfbox.contentstream.operator.state.Save,getName,[],java.lang.String,"{multiple_statements=false, loops=false, parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false}"
public,org.apache.pdfbox.contentstream.operator.color.SetStrokingColor,getName,[],java.lang.String,"{multiple_statements=false, loops=false, parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false}"
public,org.apache.pdfbox.contentstream.operator.graphics.BeginInlineImage,getName,[],java.lang.String,"{multiple_statements=false, loops=false, parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false}"
public,org.apache.pdfbox.contentstream.operator.markedcontent.EndMarkedContentSequence,getName,[],java.lang.String,"{multiple_statements=false, loops=false, parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false}"
public,org.apache.pdfbox.contentstream.operator.text.SetCharSpacing,getName,[],java.lang.String,"{multiple_statements=false, loops=false, parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false}"
public,org.apache.pdfbox.contentstream.operator.markedcontent.BeginMarkedContentSequenceWithProperties,getName,[],java.lang.String,"{multiple_statements=false, loops=false, parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false}"
public,org.apache.fontbox.cff.CFFParser$CFFBuiltInEncoding$Supplement,getName,[],java.lang.String,"{multiple_statements=false, loops=false, parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false}"
public,org.apache.pdfbox.contentstream.operator.color.SetNonStrokingDeviceGrayColor,getName,[],java.lang.String,"{multiple_statements=false, loops=false, parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false}"
public,org.apache.pdfbox.contentstream.operator.color.SetStrokingDeviceRGBColor,getName,[],java.lang.String,"{multiple_statements=false, loops=false, parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false}"
public,org.apache.pdfbox.debugger.colorpane.DeviceNColorant,getName,[],java.lang.String,"{multiple_statements=false, loops=false, parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false}"
public,org.apache.pdfbox.contentstream.operator.graphics.CurveToReplicateFinalPoint,getName,[],java.lang.String,"{multiple_statements=false, loops=false, parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false}"
public,org.apache.pdfbox.contentstream.operator.text.SetTextRenderingMode,getName,[],java.lang.String,"{multiple_statements=false, loops=false, parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false}"
public,org.apache.pdfbox.contentstream.operator.graphics.FillEvenOddRule,getName,[],java.lang.String,"{multiple_statements=false, loops=false, parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false}"
public,org.apache.pdfbox.contentstream.operator.text.ShowTextLineAndSpace,getName,[],java.lang.String,"{multiple_statements=false, loops=false, parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false}"
public,org.apache.pdfbox.contentstream.operator.color.SetNonStrokingDeviceCMYKColor,getName,[],java.lang.String,"{multiple_statements=false, loops=false, parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false}"
public,org.apache.pdfbox.contentstream.operator.graphics.ClosePath,getName,[],java.lang.String,"{multiple_statements=false, loops=false, parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false}"
public,org.apache.pdfbox.contentstream.operator.graphics.StrokePath,getName,[],java.lang.String,"{multiple_statements=false, loops=false, parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false}"
public,org.apache.pdfbox.contentstream.operator.state.Concatenate,getName,[],java.lang.String,"{multiple_statements=false, loops=false, parameters=false, returns=true, switches=false, ifs=false, static=false, returns_primitives=false, local_variables=false, conditionals=false}"
