parent-FQN,method-signature,return-type,visibility,tags
org.apache.fontbox.ttf.PostScriptTable,getName(int),String,public,"{loops=false, multiple_statements=true, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=true, switches=false, returns=true, parameters=true}"
org.apache.pdfbox.contentstream.operator.state.Concatenate,getName(),String,public,"{loops=false, multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false}"
org.apache.pdfbox.contentstream.operator.text.MoveTextSetLeading,getName(),String,public,"{loops=false, multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false}"
org.apache.pdfbox.contentstream.operator.text.ShowTextAdjusted,getName(),String,public,"{loops=false, multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false}"
org.apache.fontbox.type1.Type1Font,getName(),String,public,"{loops=false, multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false}"
org.apache.pdfbox.contentstream.operator.graphics.StrokePath,getName(),String,public,"{loops=false, multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false}"
org.apache.pdfbox.contentstream.operator.state.SetMatrix,getName(),String,public,"{loops=false, multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false}"
org.apache.pdfbox.contentstream.operator.color.SetNonStrokingDeviceRGBColor,getName(),String,public,"{loops=false, multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false}"
org.apache.pdfbox.contentstream.operator.state.SetLineJoinStyle,getName(),String,public,"{loops=false, multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false}"
org.apache.pdfbox.contentstream.operator.graphics.ShadingFill,getName(),String,public,"{loops=false, multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false}"
org.apache.pdfbox.contentstream.operator.graphics.EndPath,getName(),String,public,"{loops=false, multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false}"
org.apache.pdfbox.contentstream.operator.graphics.FillEvenOddRule,getName(),String,public,"{loops=false, multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false}"
org.apache.pdfbox.contentstream.operator.graphics.LineTo,getName(),String,public,"{loops=false, multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false}"
org.apache.pdfbox.contentstream.operator.color.SetStrokingColor,getName(),String,public,"{loops=false, multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false}"
org.apache.pdfbox.preflight.content.StubOperator,getName(),String,public,"{loops=false, multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false}"
org.apache.pdfbox.contentstream.operator.markedcontent.EndMarkedContentSequence,getName(),String,public,"{loops=false, multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false}"
org.apache.pdfbox.contentstream.operator.state.SetLineMiterLimit,getName(),String,public,"{loops=false, multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false}"
org.apache.pdfbox.pdmodel.graphics.optionalcontent.PDOptionalContentProperties$BaseState,getName(),COSName,public,"{loops=false, multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false}"
org.apache.pdfbox.contentstream.operator.color.SetNonStrokingColor,getName(),String,public,"{loops=false, multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false}"
org.apache.pdfbox.contentstream.operator.color.SetNonStrokingDeviceGrayColor,getName(),String,public,"{loops=false, multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false}"
