visibility,parent-FQN,method-name,param-list,return-type,tags
public,org.languagetool.server.HTTPServerConfig,isSkipLoggingChecks,[],boolean,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=true, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
,org.languagetool.server.HTTPServerConfig,getMaxTextHardLength,[],int,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=true, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.openoffice.MultiDocumentsHandler,getNumMinToCheckParas,[],java.util.List,"{multiple_statements=true, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=true, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.broker.DefaultResourceDataBroker,getRulesDir,[],java.lang.String,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
protected,org.languagetool.tagging.BaseTagger,additionalTags,"[java.lang.String, org.languagetool.tagging.WordTagger]",java.util.List,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=true, loops=false}"
protected,org.languagetool.dev.index.AnyCharTokenizer,normalize,[int],int,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=true, static=false, ifs=false, switches=false, returns=true, parameters=true, loops=false}"
,org.languagetool.rules.en.VariantInfo,getVariantName,[],java.lang.String,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
protected,org.languagetool.rules.spelling.morfologik.MorfologikSpellerRule,orderSuggestions,"[java.util.List, java.lang.String]",java.util.List,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=true, loops=false}"
public,org.languagetool.tagging.MorfologikTagger,getInternTags,[],boolean,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=true, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
,org.languagetool.rules.ga.DhaNoBeirtData,getNumberReplacements,[],java.util.Map,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=true, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.rules.patterns.PatternToken,getSkipNext,[],int,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=true, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.GlobalConfig,getGrammalecteUser,[],java.lang.String,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.rules.RemoteRuleConfig,getOptions,[],java.util.Map,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
,org.languagetool.rules.patterns.AbstractPatternRule,getShortMessage,[],java.lang.String,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
,org.languagetool.rules.patterns.PatternRule,getShortMessage,[],java.lang.String,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
,org.languagetool.rules.patterns.RegexPatternRule,getShortMessage,[],java.lang.String,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.rules.pl.PolishWordRepeatRule,getShortMessage,[],java.lang.String,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.rules.ru.RussianWordRepeatRule,getShortMessage,[],java.lang.String,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.rules.RuleMatch,getShortMessage,[],java.lang.String,"{multiple_statements=true, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=true, switches=false, returns=true, parameters=false, loops=false}"
protected,org.languagetool.rules.neuralnetwork.NeuralNetworkRule,getMinScore,[],double,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=true, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
protected,org.languagetool.rules.de.GermanReadabilityRule,getFleschReadingEase,"[double, double]",double,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=true, static=false, ifs=false, switches=false, returns=true, parameters=true, loops=false}"
protected,org.languagetool.rules.pt.PortugueseReadabilityRule,getFleschReadingEase,"[double, double]",double,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=true, static=false, ifs=false, switches=false, returns=true, parameters=true, loops=false}"
protected,org.languagetool.rules.ReadabilityRule,getFleschReadingEase,"[double, double]",double,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=true, static=false, ifs=false, switches=false, returns=true, parameters=true, loops=false}"
,org.languagetool.dev.eval.RealWordCorpusEvaluator,getRealErrorsFound,[],int,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=true, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.tagging.disambiguation.rules.DisambiguationPatternRule,getAction,[],org.languagetool.tagging.disambiguation.rules.DisambiguationPatternRule$DisambiguatorAction,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.server.HTTPServerConfig,getSlowRuleLoggingThreshold,[],int,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=true, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
