schemaTuple,visited,timesVisited
saleenddate,False,0
salecategories,False,0
salecollections,False,0
saleproducts,False,0
saletranslation,True,1
collectioncountableconnectionpageinfo,True,12
collectioncountableconnectionedges,True,28
collectioncountableconnectiontotalcount,False,0
collectioncountableedgenode,True,28
collectioncountableedgecursor,False,0
vouchertranslatablecontentid,True,2
vouchertranslatablecontentname,True,2
vouchertranslatablecontenttranslation,True,2
vouchertranslatablecontentvoucher,True,2
vouchertranslationid,False,0
vouchertranslationname,True,4
vouchertranslationlanguage,True,2
voucherid,True,16
vouchername,True,47
vouchertype,True,1
vouchercode,True,1
voucherusagelimit,True,1
voucherused,True,1
voucherstartdate,True,15
voucherenddate,False,0
voucherapplyonceperorder,False,0
voucherapplyoncepercustomer,True,1
voucherdiscountvaluetype,True,1
voucherdiscountvalue,True,1
voucherminspent,False,0
vouchermincheckoutitemsquantity,False,0
vouchercategories,False,0
vouchercollections,False,0
voucherproducts,False,0
vouchercountries,True,1
vouchertranslation,True,2
menuitemtranslatablecontentid,True,3
menuitemtranslatablecontentname,True,3
menuitemtranslatablecontenttranslation,True,3
menuitemtranslatablecontentmenuitem,True,3
menuitemtranslationid,False,0
menuitemtranslationname,True,5
menuitemtranslationlanguage,True,2
menuitemid,True,8
menuitemname,True,16
menuitemmenu,False,0
menuitemparent,True,1
menuitemcategory,True,4
menuitemcollection,True,3
menuitempage,True,4
menuitemlevel,False,0
menuitemchildren,True,1
menuitemurl,True,4
menuitemtranslation,True,2
menuid,True,9
menuname,True,20
menuslug,True,9
menuitems,False,0
stockcountableconnectionpageinfo,False,0
stockcountableconnectionedges,True,6
stockcountableconnectiontotalcount,True,6
stockcountableedgenode,True,6
stockcountableedgecursor,False,0
shopavailablepaymentgateways,True,3
shopgeolocalization,True,2
shopauthorizationkeys,True,1
shopcountries,True,7
shopdefaultcountry,True,4
shopdefaultmailsendername,True,1
shopdefaultmailsenderaddress,True,1
shopdescription,True,2
shopdomain,True,2
shoplanguages,True,2
shopname,True,3
shoppermissions,True,2
shopphoneprefixes,False,0
shopheadertext,False,0
shopincludetaxesinprices,True,1
shopdisplaygrossprices,True,1
shopchargetaxesonshipping,True,1
shoptrackinventorybydefault,True,1
shopdefaultweightunit,True,1
shoptranslation,True,1
shopautomaticfulfillmentdigitalproducts,True,1
shopdefaultdigitalmaxdownloads,True,1
shopdefaultdigitalurlvaliddays,True,1
shopcompanyaddress,True,1
shopcustomersetpasswordurl,False,0
shopstaffnotificationrecipients,True,1
paymentgatewayname,True,29
paymentgatewayid,True,29
paymentgatewayconfig,True,26
paymentgatewaycurrencies,True,19
gatewayconfiglinefield,True,26
gatewayconfiglinevalue,True,26
geolocalizationcountry,True,2
authorizationkeyname,True,1
authorizationkeykey,True,1
domainhost,True,2
domainsslenabled,True,1
domainurl,True,2
navigationmain,False,0
navigationsecondary,False,0
shoptranslationid,False,0
shoptranslationheadertext,True,1
shoptranslationdescription,False,0
shoptranslationlanguage,True,1
staffnotificationrecipientuser,True,1
staffnotificationrecipientactive,True,1
staffnotificationrecipientid,False,0
staffnotificationrecipientemail,True,1
userid,True,82
userlastlogin,True,5
useremail,True,70
userfirstname,True,97
userlastname,True,51
userisstaff,True,10
userisactive,True,6
usernote,True,1
userdatejoined,True,5
userdefaultshippingaddress,True,6
userdefaultbillingaddress,True,6
userprivatemetadata,True,5
usermetadata,True,5
useraddresses,True,6
usercheckout,True,2
usergiftcards,True,1
userorders,True,7
useruserpermissions,True,11
userpermissiongroups,True,5
usereditablegroups,True,4
useravatar,True,12
userevents,True,12
userstoredpaymentsources,True,2
checkoutcreated,False,0
checkoutlastchange,False,0
checkoutuser,True,4
checkoutquantity,False,0
checkoutbillingaddress,True,23
checkoutshippingaddress,True,23
checkoutshippingmethod,True,23
