,schemaTuple,visitedTest,timesVisitedTest,visitedProd,timesVisitedProd,id
30,querypages,True,16,True,9,cd2250b5-f0c6-5ee0-9496-49c4dfe02e45
31,queryhomepageevents,True,2,True,1,26f38406-14ac-5aa1-bd63-cc80a43d0e85
32,queryorder,True,26,True,13,38c4706b-23db-5922-9852-b0856018ec3b
33,queryorders,True,98,True,10,74f9ea04-b54c-5305-ad88-1420c0e9f2c1
34,querydraftorders,True,46,True,1,021b168f-c1e0-5dae-96fa-8f48c76d685b
35,queryorderstotal,True,2,True,1,26f38406-14ac-5aa1-bd63-cc80a43d0e85
36,queryorderbytoken,True,31,True,4,7cb4bf3d-e621-5c8b-bf51-51d512a56a7d
37,querymenu,True,8,True,2,e4878bc5-cf6f-5290-8403-b17f788b3985
38,querymenus,True,12,True,2,6bd882d1-c94c-5d1b-9c4a-4e8f02a79b47
39,querymenuitem,True,4,False,0,
40,querymenuitems,True,8,False,0,
41,querygiftcard,True,6,False,0,
42,querygiftcards,True,1,False,0,
43,queryplugin,True,2,True,5,318fabe5-01ec-5c56-bba9-429ea0b11e42
44,queryplugins,True,10,True,6,71ef9598-fc8c-54a0-8777-9c87409deeb7
45,querysale,True,1,False,0,
46,querysales,True,35,True,4,9e47fdf0-8381-54c5-ad61-17dcef1a425d
47,queryvoucher,True,2,False,0,
48,queryvouchers,True,45,True,4,36592a3b-783b-53b9-a5fc-788df4c17841
49,queryexportfile,True,4,True,1,f8c6cf23-86b1-528c-a104-347ee9d60d72
50,queryexportfiles,True,12,False,0,
51,querytaxtypes,False,0,True,2,2367594c-e4f7-5fb3-9d1d-780a31269703
52,querycheckout,True,41,False,0,
53,querycheckouts,True,1,False,0,
54,querycheckoutline,True,1,False,0,
55,querycheckoutlines,True,1,False,0,
56,queryappsinstallations,True,2,True,1,903717b2-9f4f-507d-a042-550a6f28c226
57,queryapps,True,15,True,2,9ee172d0-207c-546e-a8de-772d127eee76
58,queryapp,True,11,True,1,15d37756-9074-5ae7-8ae0-d002b9b3c916
59,queryaddressvalidationrules,True,3,False,0,
60,queryaddress,True,5,False,0,
61,querycustomers,True,56,True,28,e56b5d25-c288-56c1-b957-e3ad1a162c87
62,querypermissiongroups,True,10,True,3,2fdb73f4-d771-5e1c-b202-64d981b4f963
63,querypermissiongroup,True,5,True,9,a6ed9b4a-ef69-5b41-ad93-25d8b4e35ec5
64,queryme,True,13,True,4,d6f254aa-3f13-57f7-ba3d-a9803751676b
65,querystaffusers,True,31,True,2,ce3b0ea1-76e5-57fe-a7eb-ad52289c7598
66,queryuser,True,37,True,20,e4cc9dea-eb43-53ae-a758-052f7f1cad97
67,query_entities,True,2,False,0,
68,query_service,False,0,False,0,
69,webhookname,True,8,True,3,60266ab2-c801-5b24-8323-04c77978eaaf
70,webhooktargeturl,False,0,True,2,60266ab2-c801-5b24-8323-04c77978eaaf
71,webhookisactive,True,4,True,3,60266ab2-c801-5b24-8323-04c77978eaaf
72,webhooksecretkey,False,0,True,2,60266ab2-c801-5b24-8323-04c77978eaaf
73,webhookid,True,4,True,3,60266ab2-c801-5b24-8323-04c77978eaaf
74,webhookevents,True,4,True,2,60266ab2-c801-5b24-8323-04c77978eaaf
75,webhookapp,False,0,True,3,60266ab2-c801-5b24-8323-04c77978eaaf
76,nodeid,False,0,False,0,
77,webhookeventeventtype,True,5,True,2,60266ab2-c801-5b24-8323-04c77978eaaf
78,webhookeventname,True,1,False,0,
79,serviceaccountid,False,0,False,0,
80,serviceaccountname,False,0,False,0,
81,serviceaccountcreated,False,0,False,0,
82,serviceaccountisactive,False,0,False,0,
83,serviceaccountpermissions,False,0,False,0,
84,serviceaccounttokens,False,0,False,0,
85,serviceaccountprivatemetadata,False,0,False,0,
86,serviceaccountmetadata,False,0,False,0,
87,objectwithmetadataprivatemetadata,True,1,True,9,1146ff2a-92ed-5954-b529-eba1c7e85852
88,objectwithmetadatametadata,True,1,True,9,1146ff2a-92ed-5954-b529-eba1c7e85852
89,metadataitemkey,True,117,True,11,1146ff2a-92ed-5954-b529-eba1c7e85852
90,metadataitemvalue,True,117,True,11,1146ff2a-92ed-5954-b529-eba1c7e85852
91,metastorenamespace,False,0,False,0,
92,metastoreclients,False,0,False,0,
93,metaclientstorename,False,0,False,0,
